EIN,name,mission
820797944,RED TAIL SCHOLARSHIP FOUNDATION,THE RED TAIL SCHOLARSHIP FOUNDATION IS A NON-PROFIT ORGANIZATION COMMITTED TO THE CAREER DEVELOPMENT OF AFRICAN AMERICAN HIGH SCHOOL AND COLLEGE STUDENTS IN THE AVIATION INDUSTRY. WE PROVIDE MENTORSHIP AND RESOURCES TO ASPIRING FUTURE AVIATION PROFESSIONALS.
471313957,Khalil Foundation,"An organization which will provide counseling, mental health services, and research on mental health issues within the American Muslim community."
134145926,COMMUNITY HOMES HOUSING DEVELOPMENT,"COMMUNITY HOMES HOUSING DEVELOPMENT FUND COMPANY, INC. (""CHHDFC"") WAS ESTABLISHED TO INCREASE AND IMPROVE NEW YORK CITY'S AFFORDABLE HOUSING STOCK WHILE PROMOTING AND ADVANCING HOME OWNERSHIP FOR MINORITY, IMMIGRANT, LOW- AND MODERATE- INCOME, AND UNDERSERVED POPULATIONS."
453957158,ASCEND CHARTER SCHOOLS,"ASCEND CHARTER SCHOOLS' (THE ""SCHOOL"") MISSION IS TO EQUIP EVERY STUDENT WITH THE KNOWLEDGE, CONFIDENCE, AND CHARACTER TO SUCCEED IN COLLEGE AND BEYOND. THE SCHOOL WILL SPAN KINDERGARTEN THROUGH THE 12TH GRADE AT MATURITY. FROM THE EARLIEST GRADES, STUDENTS WILL STEADILY BUILD A STRONG FOUNDATION OF LEARNING HABITS, CRITICAL THINKING SKILLS, AND KNOWLEDGE; EXCEL ACADEMICALLY IN THE MIDDLE AND HIGH SCHOOL, MASTERING HIGH-LEVEL MATH AND SCIENCE; AND GRADUATE AS CONFIDENT YOUNG ADULTS, PREPARED TO SUCCEED AS COLLEGE STUDENTS, AS CITIZENS, AND AS LEADERS IN THEIR CHOSEN FIELDS."
262624247,AMERICA'S VOICE EDUCATION FUND,"THE ORGANIZATION'S EXEMPT PURPOSE IS TO EDUCATE THE PUBLIC ABOUT IMMIGRATION POLICY, SPECIFICALLY TO ADVANCE IMMIGRATION REFORM THAT VALUES CITIZENSHIP AND INTEGRATION OF IMMIGRANTS INTO MAINSTREAM SOCIETY."
133459531,PSYCHOANALYTIC PSYCHOTHERAPY STUDY,"PPSC IS DEDICATED TO USING MULTIPLE THEORETICAL PERSPECTIVES TO PROVIDE HIGH-LEVEL TRAINING IN PSYCHOANALYSIS AND PSYCHOANALYTIC PSYCHOTHERAPY TO PSYCHOLOGISTS, SOCIAL WORKERS AND OTHER QUALIFIED MENTAL HEALTH PRACTITIONERS. (CONTINUED ON SCHEDULE O).PPSC GRADUATES PSYCHOANALYSTS AND PSYCHOTHERAPISTS WHO REPRESENT OUR UNIQUE TRADITION OF DIVERSITY, RECOGNITION AND RESPECT FOR THE INDIVIDUAL. IN THE SPIRIT OF WHAT WE BELIEVE PSYCHOANALYSIS TO BE, PPSSC IS COMMITTED TO COMMUNITY, CURIOSITY AND COLLEGIALITY THAT FOSTER OPENNESS TO LEARNING FROM EACH OTHER. THIS IS THE FOUNDATION OF OUR TRAINING OF STUDENTS AND HOW THEY WORK WITH EACH PATIENT."
853063212,WHEN WE BAND TOGETHER,"THE CORPORATION IS TO OPERATE EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, EDUCATIONAL AND SCIENTIFIC PURPOSES TO PROVIDE COMMUNITY CENTERS AND SAFE SPACES FOR REFUGEES SO THOSE LIVING THROUGH THE DIFFICUT EXPERIENCE OF BEING DISPLACED HAVE PLACES TO FIND SAFETY."
831378746,CHOOSE LOVE INC,"Support refugees, asylum seekers and those who have been internally displaced, primarily through an international, cross-sector network of predominantly locally-led projects; advocate for the rights of these persons through promoting awareness of the plight of those fleeing war, persecution and the effects of climate change across the world."
237004938,ILLINOIS ALCOHOLISM & DRUG,"ADVOCATES FOR SOUND PUBLIC POLICY AND SUPPORTS MEMBERS THROUGH COORDINATION OF COLLABORATIVE EFFORTS AND EDUCATION TO PROVIDE PREVENTION, TREATMENT AND RECOVERY SUPPORT SERVICES TO ADDRESS ALCOHOLISM, DRUG DEPENDENCY AND MENTAL ILLNESS AND PROMOTE HEALTH AND WELLNESS."
954720838,AMERICAN HAI NINH COMMUNITY ASSOCIATION,"GIVE PROPER GUIDANCE TO CHILDREN, TEENAGERS AND COLLEGE STUDENTS TO DEVELOP THEIR PERSONAL GOALS AND TO ENRICH THEIR LIVES. TO HELP NEW IMMIGRANTS TO SETTLE IN THE UNITED STATES AND OBTAIN PROPER LEVEL OF EDUCATION TO BE ON PAR WITH THE AMERICAN SOCIETY."
371360597,LINCOLN LAND COMMUNITY COLLEGE,"CULTIVATING AND STEWARDING CHARITABLE GIFTS TO SUPPORT LINCOLN LAND COMMUNITY COLLEGE STUDENTS, PROGRAMS AND SERVICES."
900761009,The Rightway Foundation,"To Build A Properous Future For Foster Youth By Providing Them With A Foundation Of Support,Good Values And Mental Health Treatment Solidified Through Employment."
237423496,The Women's Center,"The mission of The Women's Center is to significantly improve the mental health and well-being of all members of the community through counseling, education, support and advocacy."
310843758,SHAWNEE MENTAL HEALTH CENTER INC,"TO PROMOTE HEALTH, HOPE, AND HEALING FOR CHILDREN, FAMILIES AND ADULTS, BY PROVIDING MENTAL HEALTH,PHYSICAL HEALTH, AND SUPPORTED EMPLOYMENT SERVICES, AND OTHER SERVICES AS THEY ARE DEVELOPED, IN PARTNERSHIP WITH OUR CONSUMERS."
421178729,NORTHEAST IOWA COMMUNITY COLLEGE,WE SOLICIT DONATIONS FOR SCHOLARSHIPS TO NORTHEAST IOWA COMMUNITY COLLEGE STUDENTS.
815138083,ERIC'S RIDE INC,TO RAISE FUNDS FOR MCLEAN HOSPITAL TO HELP ACCELERATE THE PROGRESS BEING MADE TO HELP THOSE WHO SUFFER FROM MENTAL ILLNESS
411301257,CENTER OF HUMAN ENVIRONMENT,"PROVIDE SUPPORT SERVICES FOR AN AVERAGE OF 28 INDIVIDUALS PER MONTH WITH CHRONIC ALCOHOLISM, MENTAL ILLNESS, OR DEVELOPMENTAL DISABILITIES."
310858350,Helpline of Delaware and Morrow Counties,"TO PROVIDE INFORMATION, REFERRAL, CRISIS INTERVENTION,SUICIDE PREVENTION AND COMMUNITY EDUCATION SERVICES."
382129918,ARENAC OPPORTUNITIES INC,"TO PROMOTE THE GENERAL WELFARE OF THE MENTALLY HANDICAPPED IN ARENAC COUNTY, TO ENCOURAGE RESEARCH AND STUDY IN THE FIELD OF MENTAL HEALTH, AND TO DEVELOP A BETTER UNDERSTANDING OF THE PROBLEMS OF MENTAL HEALTH BY THE PUBLIC."
480697159,FOUR COUNTY MENTAL HEALTH CENTER,"FOUR COUNTY MENTAL HEALTH CENTER IS DEDICATED TO PROVIDING ACCESSIBLE, INNOVATIVE SERVICES IN PARTNERSHIP WITH INDIVIDUALS, FAMILIES AND OUR COMMUNITIES."
472877104,CHILDREN LEARNING THROUGH EDUCATION,"INCREASE AWARENESS AND EDUCATE YOUTH AND ADULTS ABOUT SUBSTANCE ABUSE, MENTAL HEALTH, AND VIOLENCE PREVENTION."
112694795,ST JOHN'S UNIVERSITY STUDENT GOVERNMENT JAMAICA,TO SERVE UNIVERSITY STUDENTS
363784963,STEPPING STONES INC,"STEPPING STONES IS A NON-PROFIT ORGANIZATION THAT PROVIDES A VARIETY OF TREATMENT SERVICES FOR INDIVIDUALS WITH MENTAL HEALTH, ALCOHOL, OR SUBSTANCE ABUSE DISORDERS."
300007306,THE CAMBRIDGE SCHOOL OF DALLAS,"THE CAMBRIDGE SCHOOL OF DALLAS WAS FORMED IN 2001 AND IS A COLLEGE PREPARATORY, NON-DENOMINATIONAL CHRISTIAN SCHOOL ESTABLISHED FOR THE PURPOSE OF PROVIDING ACADEMIC EXCELLENCE IN A CHRIST-CENTERED ENVIRONMENT."
911362711,NAMI THURSTON MASON,"NAMI IS A NONPROFIT ORGANIZATION PROVIDING SUPPORT, EDUCATION AND ADVOCACY THROUGHOUT THURSTON AND MASON COUNTIES ON BEHALF OF INDIVIDUALS AND FAMILIES AFFECTED BY MENTAL ILLNESS. WE RECOGNIZE THAT THEY KEY CONCEPTS OF RECOVERY, RESILIENCY AND SUPPORT ARE ESSENTIAL TO IMPROVING AN INDIVIDUALS'S WELLNESS AND QUALITY OF LIFE."
141670547,COUNCIL FOR PREVENTION INC,"PROMOTES THE HEALTH AND WELL-BEING BY FOSTERING HEALTHY COMMUNITIES, SCHOOLS, FAMILIES AND INDIVIDUALS. THE COUNCIL SUPPORTS AND ENCOURAGES COLLABORATION AMONG LEADERS PROFESSIONALS AND COMMUNITY MEMBERS ADDRESSING THE ISSUES OF MENTAL HEALTH, SUBSTANCE ABUSE, DISEASE PREVENTION, TREATMENT AND RECOVERY."
113377332,NEFESH INTERNATIONAL INC,CONDUCT EDUCATIONAL FORUMS AND CONFERENCES FOR MENTAL HEALTH PROFESSIONALS AND RELIGIOUS COMMUNITY LEADERS.
830978138,FAMILY & CHILDREN COUNSELING SERVIC,"THE SPECIFIC PURPOSE OF THE CORPORATION IS TO HELP FAMILIES HEAL, PLAY AND LOVE THROUGH THE IMPROVEMENT OF INDIVIDUAL AND FAMILY MENTAL HEALTH"
823018624,WOVEN LEARNING AND TECHNOLOGY,"EDUCATION OF UNDERSERVED YOUTH AGES 7-18. ORGANIZATIONS MAILED KITS OF MATERIALS TO ALL STUDENTS. A TOTAL OF 1520 HOMELESS, FOSTER, ELL, DISABLED, LOW-INCOME AND POTENTIAL 1ST GENERATION COLLEGE STUDENTS SERVED. APPROXIMATELY 20 VOLUNTEERS MADE THIS POSSIBLE DONATINS 700 HOURS TO THE ORGANIZATION THROUGHOUT THE YEAR."
821891796,BLUE GUARDIAN FOUNDATION,"TO PROVIDE FINANCIAL ASSISTANCE TO LAW ENFORCEMENT OFFICERS AND THEIR FAMILIES, ACCROSS THE COUNTRY, WHO HAVE FACED THE LOSS OF LIFE OR INCOME DUE TO A SERIOUS INJURY, LIFE-THREANING ILLNESS OR OTHER CATASTROPHIC EVENT. TO ASSIST OFFICERS AND THEIR FAMILIES WITH TRAINING, SCHOLARSHIP OPPORTUNITIES AND CERTAIN EQUIPMENT PURCHASES TO ASSIST THE OFFICER WITH EVERYDAY OCCURRENCES. TO BRING AWARENESS TO POLICE-RELATED MENTAL HEALTH ISSUES AND PROVIDE SERVICES FOR THOSE AFFECTED BY LIFE-ALTERING EVENTS."
420805386,CENTER ASSOCIATES,MENTAL HEALTH CARE & CONSULTING
910570872,Tacoma Community House,"Tacoma Community House creates opportunities for immigrants and other community members in the Puget Sound region through comprehensive services focused on self-sufficiency, inclusion and advocacy."
200645829,ACCULTURATION FOR JUSTICE ACCESS &,"AJAPO'S MISSION IS TO PROVIDE A CONTINUUM OF CARE WHICH EMPOWERS REFUGEES AND IMMIGRANTS TO BECOME SELF-SUFFICIENT AND INTEGRATED INTO THE GREATER PITTSBURGH COMMUNITY IN ALLEGHENY COUNTY. AJAPO IS A REFUGEE RESETTLEMENT AGENCY PROVIDING RECEPTION AND PLACEMENT SERVICES FOR REFUGEES ALL OVER THE WORLD THROUGH ITS AFFILIATION TO THE ETHIOPIAN COMMUNITY DEVELOPMENT COUNCIL(ECDC), AND THE DEPARTMENT OF STATE (OFFICE OF MIGRATION AND REFUGEES)."
510315500,A&I HOUSING INC,"TO PROVIDE SAFE, AFFORDABLE HOUSING TO THOSE IN OUR COMMUNITY WHO ARE LIVING WITH MENTAL ILLNESS."
451063515,26 HEALTH INC,PROVIDES CULTURALLY COMPETENT AND COMPREHENSIVE OUTPATIENT MEDICAL AND MENTAL HEALTH SERVICES TO CENTRAL FLORIDAS LGBTQ+ COMMUNITY REGARDLESS OF INSURANCE STATUS OR ABILITY TO PAY.
431148537,MISSOURI COALITION FOR COMMUNITY,"The mission is to enable access to quality mental health services by all MO citizens in need of such services, while maximizing their human potential and quality of life."
201329143,INDEPENDENCE II INC,TO PROVIDE SINGLE FAMILY HOMES FOR THE BENEFIT OF ADULT RESIDENTS WITH MENTAL HEALTH DISABILITIES.
900978971,CULTURE OF LIFE MINISTRIES,"CULTURE OF LIFE MINISTRIES SERVES ALL THE PEOPLE IN THE HARLINGEN COMMUNITY AND SURROUNDING AREAS THROUGH A HEALING MINISTRY. WE STRIVE TO RESTORE PHYSICAL, MENTAL AND SPIRITUAL HEALTH. WE AGREE TO WORK TOGETHER IN SOLIDARITY TO WELCOME ALL WHO SEEK TO SERVE OR BE SERVED. THE SERVICES OF THIS MINISTRY ARE A GIFT TO ALL, THEREFORE NO FEE OR CHARGE OR PAYMENT IS REQUESTED OR DESIRED. WE STRIVE AS SERVANTS TO TREAT ALL AS IF THEY ARE OUR LORD AND SAVIOR JESUS CHRIST. WE EMBRACE THE CULTURE OF LIFE AND STRIVE TO REFLECT THIS CULTURE IN LIVING OUT THE MORALS AND TEACHINGS OF JESUS CHRIST IN OUR INTERACTIONS WITH OTHERS. WE EMBRACE HEALTH IN ALL ITS FORMS: PREGNANCY/CONCEPTION TO BIRTH THROUGH NATURAL HUMAN DEVELOPMENT AND EVEN TO NATURAL DEATH. THEREFORE, WE DO NOT PROMOTE OR OFFER ANYTHING WHICH OPPOSES THE CULTURE OF LIFE; SUCH AS, CONTRACEPTIVES, ABORTIONS,STERILIZATIONS, PHYSICIAN ASSISTED SUICIDE, ETC...."
833036502,Documented LTD,"DOCUMENTED LTD IS A NON-PROFIT ORGANIZATION NEWS SITE DEVOTED SOLELY TO COVERING NEW YORK CITY'S IMMIGRANTS AND THE POLICIES THAT AFFECT THEIR LIVES. CRITICAL TO THE MISSION IS ENSURING THAT THE CYCLE OF EXTRACTIVE IMMIGRATION REPORTING IS BROKEN; FOR THAT REASON, WE RELY HEAVILY ON LISTENING TO NEW YORK'S IMMIGRANT COMMUNITIES. THESE INSIGHTS INFORM THE WORK AND THE JOURNALISM CREATED BY THE ORGANIZATION IN RESPONSE TO THESE NEEDS. THE ORGANIZATION PROVIDES ORIGINAL REPORTING ON THE GROUND-LEVEL IMPACT OF SHIFTS IN LABOR POLICY, LAW-ENFORCEMENT PRACTICES, AND BUREAUCRATIC REQUIREMENTS, AND ON THE EFFECTS OF NEW FEDERAL DIRECTIVES. SIGNIFICANT REVENUES ARE RECEIVED FROM CONTRIBUTIONS."
770213467,TURNING POINT FOUNDATION,PROVIDE REHABILITATION AND SUPPORT SERVICES TO THOSE DIAGNOSED WITH MENTAL ILLNESS.
981644897,Newman Theological College St Joseph,"NEWMAN THEOLOGICAL COLLEGE IS A ROMAN CATHOLIC SCHOOL OF THEOLOGY COMMITTED TO THEOLOGICAL EDUCATION AND MISSIONARY DISCIPLESHIP. THE COLLEGE PREPARES LAITY, RELIGIOUS, AND ORDAINED MINISTERS FOR CHRISTIAN SERVICE AND LEADERSHIP IN WESTERN CANADA AND BEYOND."
822666213,MADISON PUBLIC MARKET FOUNDATION INC,"OUR VISION IS TO CREATE A VIBRANT, YEAR-ROUND PUBLIC MARKETPLACE WHERE NEW ENTREPRENEURS AND LONG-ESTABLISHED MADISON FAVORITES WILL GROW THEIR BUSINESSES AND FIND SUCCESS. THE MARKET EMPHASIZES EQUITY THROUGH ENTREPRENEURSHIP. THE PUBLIC MARKET WILL BE A PLACE IN MADISON WHERE BUSINESSES OWNED AND OPERATED BY WOMEN, PEOPLE OF COLOR AND FIRST GENERATION IMMIGRANTS CAN GET THEIR START. MARKETREADY HALL WILL HOUSE A FOOD INNOVATION BUSINESS CENTER THAT WILL SUPPORT THE GROWTH OF SMALL BUSINESSES THAT WISH TO CREATE FOOD RELATED PRODUCTS. ENTREPRENEURS WILL BE OFFERED SHARED, AFFORDABLE ACCESS TO COMMERCIAL FOOD PRODUCTION EQUIPMENT AND INFRASTRUCTURE THAT ARE OFTEN BEYOND THE REACH OF TYPICAL LOW-CAPITAL START-UPS."
204612874,RECOVERY LIGHTHOUSE INC,"TO PROVIDE AN ARRAY OF PSYCHOLOGICAL SERVICES AND DRUG AND ALCOHOL TREATMENT AND PREVENTION IN COLLABORATION WITH EXISTING MEDICAL, MENTAL HEALTH, AND SUBSTANCE ABUSE."
261868368,ST HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,"TO EDUCATE SELF-MOTIVATED, PRODUCTIVE, AND CRITICALLY THINKING LEADERS WHO ARE PREPARED TO SUCCEED IN A COLLEGE PREPARATORY HIGH SCHOOL, COMMITTED TO SERVING OTHERS, AND PASSIONATE ABOUT LIFELONG LEARNING."
200247527,WILEY CHRISTIAN ADULT DAY SERVICES INC,"WILEY CHRISTIAN ADULT DAY SERVICES, INC. OFFERS SUPPORTIVE CARE TO MEET INDIVIDUALS' PHYSICAL, SOCIAL, AND SPIRITUAL NEEDS. WE STRIVE TO MAINTAIN INDIVIDUALS WITH PHYSICAL AND MENTAL ILLNESSES WITHIN THEIR COMMUNITIES. OUR MISSION: ""WE ARE CALLED BY CHRIST, TO NURTURE AND SUSTAIN, YOUNG AND OLD, WITH LOVE AND COMPASSION."""
942148477,Remi Vista Inc,"Remi Vista is a private non-profit organization that provides child welfare, mental health, community counseling, and other social support services in several Northern California communities. Our mission, expressed by our motto ""Ambassadors of Hope,"" is to enter into the lives of individuals who are struggling under the weight of their personal circumstances and providing hope-filled support through professional and competent caregiving, mentoring, and counseling. The agency is licensed by the state of California Department of Social Services to provide residential care. Remi Vista also contracts as an organizational provider of specialty mental health services for various counties and as an organizational provider to Regional Centers to provide supported living services, behavioral support for individuals with developmental disabilities and other community services."
320081620,AMERICAN FRIENDS OF LIBI INC,"THE ORGANIZATION'S PRIMARY OBJECTIVE IS TO PROVIDE EDUCATIONAL,MEDICAL AND OTHER SOCIAL SERVICES TO NEW IMMIGRANTS AND UNDERPRIVILEGED PERSONS (AND THEIR FAMILIES) AS THEY FULFILL THEIR COMMITMENT TO THE ISRAELI DEFENSE FORCES (""IDF""). EACH YEAR, SEVERAL HUNDREDS OF PERSONS MAKE ALIYAH (EMIGRATE) TO ISRAEL TO ESCAPE PERSECUTION, OPPRESSION OR POVERTY OR TO SEEK RELIGIOUS FREEDOM. MANY DO NOT SPEAK HEBREW OR ENGLISH (ISRAEL'S MAJOR LANGUAGES), AND MANY HAVE NEVER BEEN EXPOSED TO, AND THEREFORE DO NOT UNDERSTAND, THE BASIC OPERATING TENETS OF WESTERN SOCIETY OR DEMOCRACY. THIS MAKES PARTICIPATION IN AND ASSIMILATION INTO SOCIETY DIFFICULT. BECAUSE SERVICE IN THE IDF IS LARGELY MANDATORY FOR ALL ISRAELIS, THE ORGANIZATION BELIEVES THAT THIS PERIOD OF SERVICE CREATES A UNIQUE OPPORTUNITY TO OFFER EMIGRANTS AND THEIR FAMILIES APPROPRIATE EDUCATION AND SOCIAL SERVICES."
237092671,NATIONAL COUNCIL FOR,"NATIONAL COUNCIL FOR BEHAVIORAL HEALTH DBA NATIONAL COUNCIL FOR MENTAL WELLBEING IS A MEMBERSHIP ORGANIZATION THAT DRIVES POLICY AND SOCIAL CHANGE ON BEHALF OF OVER 3,300 MENTAL HEALTH AND SUBSTANCE USE TREATMENT ORGANIZATIONS AND THE MORE THAN (CONTINUED ON SCHEDULE O) (CONTINUED) 10 MILLION CHILDREN, ADULTS AND FAMILIES THEY SERVE. WE ADVOCATE FOR POLICIES TO ENSURE EQUITABLE ACCESS TO HIGH-QUALITY SERVICES. WE BUILD THE CAPACITY OF MENTAL HEALTH AND SUBSTANCE USE TREATMENT ORGANIZATIONS. AND WE PROMOTE GREATER UNDERSTANDING OF MENTAL WELLBEING AS A CORE COMPONENT OF COMPREHENSIVE HEALTH AND HEALTH CARE. THROUGH OUR MENTAL HEALTH FIRST AID PROGRAM, WE HAVE TRAINED MORE THAN 3 MILLION PEOPLE IN THE U.S. TO IDENTIFY, UNDERSTAND AND RESPOND TO SIGNS AND SYMPTOMS OF MENTAL HEALTH AND SUBSTANCE USE CHALLENGES."
953700335,CENTER FOR HUMAN RIGHTS AND,"TO PROTECT & FURTHER THE LEGAL, CIVIL, HUMAN AND CONSTITUTIONAL RIGHTS OF IMMIGRANTS, REFUGEES,CHILDREN,INDIGENOUS PEOPLES AND THE INDIGENT THROUGH THE PROVISION OF TECHNICAL SUPPORT TO NON-PROFIT LEGAL SERVICES PROGRAMS INCLUDING LITIGATION SUPPORT, ADVOCACY SUPPORT,TRAINING, INFORMATION DISTRIBUTION AND POLICY ANALYSIS."
133975090,Agudath Israel Of America,"The Mission and objective of Agudath Israel of America Community Services Inc. is to address a broad range of social challenges facing needy members of the community. It accomplishes this mission through constructive community-service projects in the fields of education, human services and social action, including, but not limited to, day care, senior services, career training and placement, neighborhood preservation, youth outreach and leadership training, aid to refugees and immigrants, advocacy, and other charitable needs."
731603736,TULSA SCHOOL OF ARTS AND SCIENCES,"THE MISSION OF TSAS MIDDLE AND HIGH SCHOOL IS TO PROVIDE STUDENTS A MULTI-STRAND LIBERAL ARTS EDUCATION IN A SAFE, SUPPORTIVE, INDIVIDUALIZED AND CHALLENGING SCHOOL ENVIRONMENT THROUGH A COLLEGE PREPARATORY CURRICULUM."
311020023,WELLSPRING INC,"WELLSPRING PROMOTES MENTAL HEALTH RECOVERY AND SUPPORTS INDIVIDUALS IN BUILDING HEALTHY AND HOPEFUL LIVES THROUGH BEHAVIORAL HEALTH, HOUSING, AND EMPLOYMENT SERVICES."
742837497,FRIENDS OF JOHNSON COUNTY MENTAL HEALTH,"TO ENCOURAGE CHARITABLE GIVING OF FINANCIAL SUPPORT WHICH WILL AID IN THE DELIVERY OF QUALITY MENTAL HEALTH SERVICES TO PERSONS IN JOHNSON COUNTY, KANSAS. TO SUPPORT EFFORTS TO PREVENT AND TREAT MENTAL HEALTH AND SUBSTANCE USE DISORDERS IN JOHNSON COUNTY, KANSAS. TO SUPPORT THE DEVELOPMENT AND ENGAGEMENT OF STAFF TO UTILIZE RESEARCH-BASED INTERVENTIONS AND BEST PRACTICES. TO ESTABLISH AND MAINTAIN AN ASSOCIATION OF PEOPLE WHO ARE INTERESTED IN THE ISSUES AND CHALLENGES ASSOCIATED WITH THE VISION OF JCMHC AND THE DELIVERY OF QUALITY MENTAL HEALTH SERVICES. TO FOSTER PUBLIC AWARENESS OF AND SUPPORT FOR JCMHC AND ITS CLIENTS. TO ENCOURAGE EDUCATIONAL AND RESEARCH ENDEAVORS AIMED AT THE TREATMENT AND PREVENTION OF MENTAL ILLNESS AND SUBSTANCE USE DISORDERS. TO PROVIDE COMMUNITY-BASED EDUCATION AND PREVENTION EFFORTS TO PROMOTE MENTAL HEALTH WELLNESS AND REDUCE THE STIGMA ASSOCIATED WITH MENTAL ILLNESS AND SUBSTANCE USE DISORDERS."
391969571,GILEAD III INC,TO PROVIDE SAFE AND AFFORDABLE HOUSING FOR PERSONS WITH CHRONIC MENTAL ILLNESS.
133221478,FOUNTAIN HOUSE RESIDENTIAL CORP,TO PROVIDE HOUSING TO PEOPLE LIVING WITH MENTAL ILLNESS.
510187655,PORTUGUESE ORGANIZATION FOR SOCIAL,"PROVIDE A SENIOR LUNCH PROGRAM, FOOD DISTRIBUTION, HEALTH SCREENING, INFORMATION AND REFERRAL, TRANSPORTATION AND TRANSLATION ASSISTANCE, IMMIGRATION SERVICES AND SOCIAL ACTIVITIES TO COMMUNITY MEMBERS."
270963659,THE CONNECTICUT VETERANS LEGAL,"THE MISSION OF THE CONNECTICUT VETERANS LEGAL CENTER IS TO HELP VETERANS RECOVERING FROM HOMELESSNESS, SERIOUS MENTAL ILLNESS, OVERCOME LEGAL BARRIERS TO HOUSING, HEALTHCARE AND INCOME."
264545682,GIANTS OF THE EARTH HERITAGE CENTER,"THE GIANTS OF THE EARTH HERITAGE CENTER, INCORPORATED IN 2009 AS A NON- PROFIT EDUCATIONAL INSTITUTION, IS DEDICATED TO HONORING, PRESERVING, AND INTERPRETING THE HISTORY AND HERITAGE OF THE PEOPLE FROM SPRING GROVE'S NORWEGIAN RIDGE IN SOUTHEASTERN MINNESOTA. DRAWING ON RICH CULTURAL HISTORY, THE CENTER RECORDS AND REFLECTS THE ACHIEVEMENTS OF INDIGENOUS PEOPLES AND IMMIGRANTS TO THE SPRING GROVE AREA. THE CENTER DRAWS UPON VARIED RESOURCES, WHILE ALSO PROVIDING A GATHERING PLACE AND A SENSE OF COMMUNITY AND IDENTITY TO ITS PUBLIC."
510454157,Camp Kesem National,"TO SUPPORT CHILDREN THROUGH AND BEYOND THEIR PARENT'S CANCER WITH FREE, FUN-FILLED CREATIVE PROGRAMS AND A LASTING COMMUNITY. THE ORGANIZATION PROVIDES THESE CHILDREN A SUPPORTIVE, LIFELONG COMMUNITY THAT RECOGNIZES AND UNDERSTANDS THEIR UNIQUE NEEDS. THE ORGANIZATION ALSO EMPOWERS COLLEGE STUDENTS TO MAKE A DIFFERENCE AND BUILD INVALUABLE LEADERSHIP SKILLS BY DEVELOPING AND MANAGING EVERY ASPECT OF THEIR KESEM CHAPTER."
454103919,Welcome Home Montrose Inc,"Continue to help veterans and their families find their way back to civilian life by providing assistance for food insecurities, housing, and mental health issues through diversity and inclusion."
800362127,PROSPERITYME,"PROSPERITYME EMPOWERS, THROUGH EDUCATION AND COUNSELING, MEMBERS OF REFUGEE AND IMMIGRANT COMMUNITIES TO INVEST IN THEMSELVES TO BUILD FINANCIAL STABILITY, CAREERS, BUSINESSES AND WEALTH."
134336713,Daily Work,"We provide holistic employment assistance to immigrants, people facing systemic barriers to employment, and people with complex needs using a person-centered, relationship-based approach."
931185524,NAMI OF WASHINGTON COUNTY,"TO IMPROVE THE LIVES OF THOSE AFFECTED BY MENTAL ILLNESS THROUGH SUPPORT, EDUCATION, AND ADVOCACY"
823851172,OMEGA MENTAL HEALTH,TO SERVE THE MENTAL HEALTH NEEDS OF THE LOW INCOME AND RURAL COMMUNITY OF THE SAN JOAQUIN VALLEY.
521082730,ST LUKE INSTITUTE INC,"SLI PARTICIPATES IN THE HEALING MINISTRY OF CHRIST BY PROMOTING THE HEALTH AND WELL BEING OF CLERGY OF ANY DENOMINATION AND WOMEN AND MEN RELIGIOUS IN THE UNITED STATES AND ABROAD. TO ACCOMPLISH THIS TASK, SLI PROVIDES MENTAL HEALTH TREATMENT, OFFERS EDUCATION AND WELLNESS PROGRAMS, AND CONDUCTS RESEARCH. IN THESE SERVICES, SLI STRIVES TO INTEGRATE THE HIGHEST QUALITY SPIRITUAL, PSYCHOLOGICAL AND PHYSICAL RESOURCES WITHIN THE CONTEXT OF A CHRISTIAN COMMUNITY. SLI CONDUCTS ITS MINISTRY IN HARMONY WITH THE TEACHINGS OF THE CATHOLIC CHURCH."
840831830,Child and Migrant Services,"To serve, empower and cultivate the well -being of migrant and immigrant workers and their families in the Grand Valley"
473383175,LIVIN FOUNDATION,"PREVENT SUICIDE BY CREATING QUALITY CONNECTIONS THROUGH EVERYDAY CONVERSATIONS ABOUT MENTAL HEALTH, BY WAY OF PROGRAMS AND PARTNERSHIPS."
863074843,THE WARRIOR'S JOURNEY,"THE MILITARY CREATES A SET OF UNIQUE CHALLENGES THAT MOST PEOPLE DON'T RECOGNIZE. THESE INVISIBLE WOUNDS OFTEN LEAD TO ISOLATION, ADDICTION, AND SUICIDE. THE WARRIOR'S JOURNEY IS DEDICATED TO RAISING AWARENESS AND CREATING PREVENTATIVE RESOURCES TO CARE FOR THESE INVISIBLE WOUNDS."
